CustId,Name,EmailId,Region
C001,John Doe,john.doe@example.com,North
C002,Jane Smith,jane.smith@example.com,South
C003,Bob Johnson,bob.johnson@example.com,East
C004,Alice Brown,alice.brown@example.com,West
C005,Charlie Wilson,charlie.wilson@example.com,North
C006,Diana Martinez,diana.martinez@example.com,South
C007,Edward Davis,edward.davis@example.com,East
C008,Fiona Garcia,fiona.garcia@example.com,West
C009,George Rodriguez,george.rodriguez@example.com,North
C010,Hannah Lee,hannah.lee@example.com,South
